df,
text,spell_corrected_sentence
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
is thr collegee
is thr collegee
is thr collegee
is thr collegee
is thr collegee
is thr collegee
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
wheree iss thee colllege
